id,entity_name,entity_description,entity_name_embedding,description_embedding,combined_embedding,dbscan_labels,agg_labels,final_cluster
73,VisionImpairment,"A condition related to the difficulty in seeing, despite the use of corrective lenses.","[-0.01184703  0.04010203 -0.04021588 ...  0.03327131  0.00865225
  0.03042518]","[ 0.01485734  0.02907622 -0.01662638 ...  0.00863242  0.01956593
  0.01089361]","[-0.01184703  0.04010203 -0.04021588 ...  0.00863242  0.01956593
  0.01089361]",-1,18,DBSCAN_-1_AGG_18
74,Respondent,The person answering the survey question.,"[-0.00286051  0.01264529 -0.00938681 ... -0.01554503  0.02669561
  0.01563472]","[ 0.01557759 -0.02695728 -0.00552895 ... -0.02885877  0.01014372
  0.03723995]","[-0.00286051  0.01264529 -0.00938681 ... -0.02885877  0.01014372
  0.03723995]",0,17,DBSCAN_0_AGG_17
75,HearingDifficulty,Level of difficulty hearing even with hearing aids,"[-0.02848048 -0.01147638  0.00699702 ... -0.01690086 -0.01763153
  0.00019979]","[-0.02323499 -0.01303522  0.04108787 ... -0.03368417 -0.04153419
  0.00605488]","[-0.02848048 -0.01147638  0.00699702 ... -0.03368417 -0.04153419
  0.00605488]",-1,18,DBSCAN_-1_AGG_18
76,WalkingDifficulty,Level of difficulty in walking or climbing steps experienced by the respondent.,"[ 0.01298356 -0.01722485  0.02187008 ... -0.00890095 -0.0245822
 -0.00712292]","[ 6.46591140e-03 -2.73518672e-05  2.47402489e-02 ... -1.73871107e-02
 -3.10976505e-02 -4.81592305e-03]","[ 0.01298356 -0.01722485  0.02187008 ... -0.01738711 -0.03109765
 -0.00481592]",-1,18,DBSCAN_-1_AGG_18
77,DifficultyRememberingOrConcentrating,Level of difficulty remembering or concentrating,"[ 0.00610064 -0.0452685   0.02658346 ... -0.03896156  0.01928921
  0.00359739]","[-0.00116069 -0.01233385  0.04096299 ... -0.02816556 -0.01268504
  0.00502555]","[ 0.00610064 -0.0452685   0.02658346 ... -0.02816556 -0.01268504
  0.00502555]",0,18,DBSCAN_0_AGG_18
78,MentalHealthIssue,Aspect of mental health related to memory and concentration difficulties,"[-0.01665908 -0.00171604  0.0586153  ...  0.03809994 -0.06111416
  0.04787944]","[-0.00169456  0.00068851  0.01142166 ... -0.00194162 -0.00038662
  0.03671654]","[-0.01665908 -0.00171604  0.0586153  ... -0.00194162 -0.00038662
  0.03671654]",0,28,DBSCAN_0_AGG_28
79,Self-Care Difficulty,"Level of difficulty with self-care tasks, such as washing all over or dressing.","[ 0.02934396 -0.00213502  0.04896303 ... -0.01529517 -0.0253586
  0.02454306]","[ 0.05314334  0.0188908   0.04320491 ... -0.00965299 -0.02903682
  0.00749274]","[ 0.02934396 -0.00213502  0.04896303 ... -0.00965299 -0.02903682
  0.00749274]",0,18,DBSCAN_0_AGG_18
80,Self-Care Tasks,Tasks related to personal hygiene and dressing.,"[ 0.01360687  0.01957874  0.030933   ... -0.03045581 -0.01251916
  0.00164384]","[ 0.02548399  0.04217858  0.06561699 ... -0.00706716 -0.00664814
  0.0127024 ]","[ 0.01360687  0.01957874  0.030933   ... -0.00706716 -0.00664814
  0.0127024 ]",0,18,DBSCAN_0_AGG_18
81,Respondent,"Individual aged 12 or older in the civilian, noninstitutionalized U.S. population answering the survey.","[-0.00286437  0.01265332 -0.00940965 ... -0.01557562  0.02669679
  0.01563541]","[ 0.05962301 -0.00169311  0.05664443 ... -0.00784446 -0.02345634
  0.03250764]","[-0.00286437  0.01265332 -0.00940965 ... -0.00784446 -0.02345634
  0.03250764]",0,17,DBSCAN_0_AGG_17
82,DifficultyCommunicating,Difficulty in communicating using one's usual language.,"[ 0.01459979 -0.01337327  0.02982552 ... -0.01399076 -0.01653684
  0.03532371]","[ 0.03000204 -0.00070162  0.03559372 ... -0.01619316 -0.02872476
  0.01948572]","[ 0.01459979 -0.01337327  0.02982552 ... -0.01619316 -0.02872476
  0.01948572]",0,18,DBSCAN_0_AGG_18
83,UsualLanguage,The language usually spoken by the respondent.,"[-0.00866376  0.04428475  0.01102661 ... -0.03129654 -0.02197891
  0.04211509]","[ 0.00451331  0.03237379  0.02029045 ... -0.03067495  0.01024691
  0.02165431]","[-0.00866376  0.04428475  0.01102661 ... -0.03067495  0.01024691
  0.02165431]",-1,17,DBSCAN_-1_AGG_17
84,Gender,Gender of the respondent.,"[ 0.04869919  0.01497281  0.00573061 ...  0.01543602 -0.01432182
  0.00102735]","[ 0.00893365  0.03214403  0.01810951 ... -0.01949159  0.02249797
  0.01637123]","[ 0.04869919  0.01497281  0.00573061 ... -0.01949159  0.02249797
  0.01637123]",0,15,DBSCAN_0_AGG_15
85,Survey,National Survey on Drug Use and Health (NSDUH) survey.,"[ 9.20333341e-03 -1.88125037e-02 -7.82422430e-05 ... -8.48984625e-03
 -3.47252376e-03 -2.79896539e-02]","[-0.04164012  0.0018985   0.02326676 ... -0.03593884 -0.04651044
  0.00763441]","[ 9.20333341e-03 -1.88125037e-02 -7.82422430e-05 ... -3.59388366e-02
 -4.65104394e-02  7.63440598e-03]",0,17,DBSCAN_0_AGG_17
86,MaritalStatus,Imputation revised marital status of the respondent.,"[-0.01343093  0.04748058 -0.00067814 ...  0.01340354 -0.04329112
  0.05104026]","[ 0.00580762  0.04079499 -0.00526866 ...  0.01287281  0.0065366
  0.01904319]","[-0.01343093  0.04748058 -0.00067814 ...  0.01287281  0.0065366
  0.01904319]",0,9,DBSCAN_0_AGG_9
87,SurveyPeriod,Time period when the survey question was administered (2015 vs. 2016 and other prior years).,"[-0.00941919 -0.01081145  0.02660084 ... -0.02191847  0.0023373
 -0.01669163]","[-0.01129461 -0.00854711  0.0492562  ... -0.03259711  0.01382456
 -0.01100246]","[-0.00941919 -0.01081145  0.02660084 ... -0.03259711  0.01382456
 -0.01100246]",0,23,DBSCAN_0_AGG_23
88,SurveyAdministrationMethod,The method of administering the marital status question (Self-administration in 2015 vs. Interviewer administration in 2016 and other prior years).,"[-0.01655365  0.00696508  0.03932383 ... -0.02242798 -0.00279993
 -0.0297709 ]","[-0.01860958  0.03416796  0.05272257 ... -0.03086936 -0.02878025
  0.02361245]","[-0.01655365  0.00696508  0.03932383 ... -0.03086936 -0.02878025
  0.02361245]",0,17,DBSCAN_0_AGG_17
89,Marital Status,Indicates the marital status of the respondent.,"[ 0.00418565  0.03143235 -0.01580949 ...  0.00853792 -0.0388972
  0.04910805]","[-0.00907824  0.05334021  0.01237711 ...  0.00130686 -0.01267528
  0.02409445]","[ 0.00418565  0.03143235 -0.01580949 ...  0.00130686 -0.01267528
  0.02409445]",0,9,DBSCAN_0_AGG_9
90,Imputation Indicator,Reflects whether the marital status question was self-administered or interviewer-administered.,"[ 0.01078725  0.01446083 -0.0147488  ...  0.00214422 -0.0215278
  0.01460092]","[-0.00551357  0.04436929  0.01038846 ... -0.00419384 -0.03740889
  0.02695525]","[ 0.01078725  0.01446083 -0.0147488  ... -0.00419384 -0.03740889
  0.02695525]",0,3,DBSCAN_0_AGG_3
91,Survey,"The survey which includes questions on various topics, such as marital status.","[ 9.20333341e-03 -1.88125037e-02 -7.82422430e-05 ... -8.48984625e-03
 -3.47252376e-03 -2.79896539e-02]","[ 0.02633303  0.03651651  0.03911381 ...  0.00374809 -0.01530093
  0.00708472]","[ 9.20333341e-03 -1.88125037e-02 -7.82422430e-05 ...  3.74808512e-03
 -1.53009305e-02  7.08471658e-03]",0,17,DBSCAN_0_AGG_17
92,Survey Year,The year in which the survey was conducted.,"[-0.01046337  0.01620676  0.03834022 ... -0.02818235 -0.01422101
 -0.01149443]","[-0.01230768  0.01544331  0.02315114 ... -0.04820853  0.02152117
 -0.00037684]","[-0.01046337  0.01620676  0.03834022 ... -0.04820853  0.02152117
 -0.00037684]",0,17,DBSCAN_0_AGG_17
93,EDUCATION,EDUCATION - RECODED IMPUTATION REVISED,"[ 0.03851831 -0.01229742  0.01749936 ...  0.01119227  0.01123451
 -0.01045316]","[ 0.0430835   0.01029201  0.01291505 ... -0.00724372 -0.00541045
  0.02131304]","[ 0.03851831 -0.01229742  0.01749936 ... -0.00724372 -0.00541045
  0.02131304]",-1,26,DBSCAN_-1_AGG_26
145,Education,The grade or year of school the respondent is currently attending or will be attending after their vacation.,"[ 0.01587704 -0.01908453  0.01730583 ...  0.00403122 -0.00865292
 -0.00931628]","[-0.03451325  0.02904661  0.02663966 ... -0.0077512   0.03435007
 -0.00839714]","[ 0.01587704 -0.01908453  0.01730583 ... -0.0077512   0.03435007
 -0.00839714]",0,26,DBSCAN_0_AGG_26
94,VARIABLE,The variable reflects the move of the marital status questions from self-administration in 2015 back to interviewer administration in 2016.,"[-0.00514742  0.0311368   0.00831628 ... -0.01817758 -0.01066534
  0.0111383 ]","[-0.01363885  0.06041336  0.01044244 ... -0.02288423 -0.0376692
  0.00601396]","[-0.00514742  0.0311368   0.00831628 ... -0.02288423 -0.0376692
  0.00601396]",0,3,DBSCAN_0_AGG_3
95,MARITAL_STATUS,"The status of being married, single, divorced, etc.","[ 0.02064055  0.05657038 -0.01077076 ...  0.0083272  -0.02962301
  0.04087156]","[ 0.00065854  0.02185954  0.02710164 ...  0.00905572 -0.03522689
  0.03758584]","[ 0.02064055  0.05657038 -0.01077076 ...  0.00905572 -0.03522689
  0.03758584]",0,9,DBSCAN_0_AGG_9
96,SURVEY_PERIOD,The time frame during which the survey data was collected.,"[-0.01667858  0.01288799  0.03879936 ... -0.01962982  0.01638075
 -0.01089117]","[ 0.01512955  0.01724566  0.04123246 ... -0.02800361  0.0220861
  0.00057694]","[-0.01667858  0.01288799  0.03879936 ... -0.02800361  0.0220861
  0.00057694]",0,23,DBSCAN_0_AGG_23
97,ANALYTIC_GOALS,The aims or objectives that should be considered when analyzing the data.,"[-0.00296163  0.03112095  0.00297998 ... -0.01233094  0.02000842
  0.01476777]","[ 0.0340599  -0.01929732  0.06954923 ...  0.00084179  0.02163863
  0.02706061]","[-0.00296163  0.03112095  0.00297998 ...  0.00084179  0.02163863
  0.02706061]",-1,22,DBSCAN_-1_AGG_22
98,EDUCATION,Indicator of education - imputation indicator.,"[ 0.03851831 -0.01229742  0.01749936 ...  0.01119227  0.01123451
 -0.01045316]","[ 0.01650196  0.0345836  -0.0236246  ... -0.01289833 -0.02967533
 -0.01144559]","[ 0.03851831 -0.01229742  0.01749936 ... -0.01289833 -0.02967533
 -0.01144559]",-1,26,DBSCAN_-1_AGG_26
99,MARITAL_STATUS,Marital status question administration method and its comparability over years.,"[ 0.02064055  0.05657038 -0.01077076 ...  0.0083272  -0.02962301
  0.04087156]","[ 0.00101732  0.01686236  0.04637844 ... -0.01794935 -0.02183744
  0.02403931]","[ 0.02064055  0.05657038 -0.01077076 ... -0.01794935 -0.02183744
  0.02403931]",0,9,DBSCAN_0_AGG_9
100,AgeCategory,Respondent's age category.,"[-0.00406573  0.00932985 -0.01496893 ...  0.00186928 -0.00342425
  0.00963864]","[ 0.00174008  0.01826472 -0.01436483 ... -0.01704506  0.02772081
  0.01178247]","[-0.00406573  0.00932985 -0.01496893 ... -0.01704506  0.02772081
  0.01178247]",0,15,DBSCAN_0_AGG_15
101,MaritalStatus,Marital status of the respondent.,"[-0.01343093  0.04748058 -0.00067814 ...  0.01340354 -0.04329112
  0.05104026]","[-0.00297229  0.0468039   0.00804077 ... -0.01342075  0.01002013
  0.02754239]","[-0.01343093  0.04748058 -0.00067814 ... -0.01342075  0.01002013
  0.02754239]",0,9,DBSCAN_0_AGG_9
102,SurveyPeriod,"Year of the survey (2002 to 2016, excluding 2015) the data is collected in.","[-0.00941919 -0.01081145  0.02660084 ... -0.02191847  0.0023373
 -0.01669163]","[-0.02052922  0.02348713  0.0618268  ... -0.03285178  0.00100695
  0.01374488]","[-0.00941919 -0.01081145  0.02660084 ... -0.03285178  0.00100695
  0.01374488]",0,23,DBSCAN_0_AGG_23
103,AgeCategory,Age category recode with 3 levels.,"[-0.00406573  0.00932985 -0.01496893 ...  0.00186928 -0.00342425
  0.00963864]","[-0.00499108  0.03132041  0.04222788 ... -0.00060023  0.00145982
  0.02119806]","[-0.00406573  0.00932985 -0.01496893 ... -0.00060023  0.00145982
  0.02119806]",0,15,DBSCAN_0_AGG_15
104,MaritalStatus,Marital status information related to the respondent.,"[-0.01343093  0.04748058 -0.00067814 ...  0.01340354 -0.04329112
  0.05104026]","[-0.01003333  0.05650188  0.00231737 ...  0.00517429 -0.00437101
  0.03050617]","[-0.01343093  0.04748058 -0.00067814 ...  0.00517429 -0.00437101
  0.03050617]",0,9,DBSCAN_0_AGG_9
105,SurveyYear,Year in which the survey is conducted.,"[-0.03083386  0.00673497  0.0161242  ... -0.00899586 -0.01145144
 -0.00250724]","[ 0.0050222   0.02505084  0.04039164 ... -0.02929062  0.01686551
  0.01026509]","[-0.03083386  0.00673497  0.0161242  ... -0.02929062  0.01686551
  0.01026509]",0,17,DBSCAN_0_AGG_17
106,AgeCategoryRecode,Recoded age categories into five levels for analysis purposes.,"[ 0.03930612  0.01285576 -0.02130805 ...  0.00553758 -0.0223572
  0.0217218 ]","[ 0.01831915  0.05439639 -0.00831095 ... -0.03268272  0.01357104
  0.01304503]","[ 0.03930612  0.01285576 -0.02130805 ... -0.03268272  0.01357104
  0.01304503]",0,15,DBSCAN_0_AGG_15
107,MaritalStatus,"The marital status of the respondent, noting the method of administration changing over the years, affecting comparability of data.","[-0.01343093  0.04748058 -0.00067814 ...  0.01340354 -0.04329112
  0.05104026]","[-0.01006249  0.02961325  0.0502851  ... -0.03026949 -0.01490233
  0.01497069]","[-0.01343093  0.04748058 -0.00067814 ... -0.03026949 -0.01490233
  0.01497069]",0,9,DBSCAN_0_AGG_9
108,SurveyYear,"The year in which the survey was administered, noting changes in the survey method affecting comparability.","[-0.03083386  0.00673497  0.0161242  ... -0.00899586 -0.01145144
 -0.00250724]","[-0.00713807 -0.0077532   0.01608309 ... -0.04157253  0.00024709
 -0.00078213]","[-0.03083386  0.00673497  0.0161242  ... -0.04157253  0.00024709
 -0.00078213]",0,17,DBSCAN_0_AGG_17
109,RC-AGE CATEGORY,Categorized age of the respondent (6 levels).,"[ 0.02941736  0.02897903  0.02797247 ... -0.00312519  0.02959595
  0.01857255]","[-0.00611912  0.04215634  0.05044422 ... -0.02354446  0.01491245
 -0.00305418]","[ 0.02941736  0.02897903  0.02797247 ... -0.02354446  0.01491245
 -0.00305418]",0,15,DBSCAN_0_AGG_15
110,Marital Status,"Marital status of the respondent, affected by the shift from self-administration to interviewer administration after 2015.","[ 0.00418565  0.03143235 -0.01580949 ...  0.00853792 -0.0388972
  0.04910805]","[-0.0144054   0.04367952  0.0226951  ... -0.03706487 -0.0215689
  0.01566703]","[ 0.00418565  0.03143235 -0.01580949 ... -0.03706487 -0.0215689
  0.01566703]",0,9,DBSCAN_0_AGG_9
111,AgeCategory,Age category recoded into 7 levels.,"[-0.00406573  0.00932985 -0.01496893 ...  0.00186928 -0.00342425
  0.00963864]","[-0.00272407  0.04196151  0.02757311 ... -0.01850338 -0.00688278
  0.00851687]","[-0.00406573  0.00932985 -0.01496893 ... -0.01850338 -0.00688278
  0.00851687]",0,15,DBSCAN_0_AGG_15
112,MaritalStatus,Marital status of the respondent.,"[-0.01343093  0.04748058 -0.00067814 ...  0.01340354 -0.04329112
  0.05104026]","[-0.00297229  0.0468039   0.00804077 ... -0.01342075  0.01002013
  0.02754239]","[-0.01343093  0.04748058 -0.00067814 ... -0.01342075  0.01002013
  0.02754239]",0,9,DBSCAN_0_AGG_9
113,SurveyYear,Year in which the survey data was collected.,"[-0.03083386  0.00673497  0.0161242  ... -0.00899586 -0.01145144
 -0.00250724]","[ 0.00271357  0.01812951  0.03495755 ... -0.03459314  0.01768701
  0.00838148]","[-0.03083386  0.00673497  0.0161242  ... -0.03459314  0.01768701
  0.00838148]",0,17,DBSCAN_0_AGG_17
114,AdministrationMode,Mode of administration for the survey questions (self-administration or interviewer-administered).,"[-0.02603014  0.05911249  0.0409086  ... -0.0280512  -0.02415241
  0.00885111]","[ 0.0119442   0.02733713  0.05811036 ... -0.03716536 -0.00555207
  0.00075007]","[-0.02603014  0.05911249  0.0409086  ... -0.03716536 -0.00555207
  0.00075007]",-1,17,DBSCAN_-1_AGG_17
115,PregnancyAgeCategoryRecode,Categorization of respondent's age at pregnancy.,"[ 0.02249858  0.03441129 -0.00292229 ...  0.01345588 -0.01648454
  0.02800785]","[ 0.01735818  0.02841369  0.01216623 ... -0.00844016  0.03409643
  0.0202383 ]","[ 0.02249858  0.03441129 -0.00292229 ... -0.00844016  0.03409643
  0.0202383 ]",0,9,DBSCAN_0_AGG_9
116,Respondent,An individual who participates in the survey.,"[-0.00286051  0.01264529 -0.00938681 ... -0.01554503  0.02669561
  0.01563472]","[ 0.03797046 -0.00733392  0.00411698 ... -0.04365197  0.00124107
  0.01968839]","[-0.00286051  0.01264529 -0.00938681 ... -0.04365197  0.00124107
  0.01968839]",0,17,DBSCAN_0_AGG_17
117,MaritalStatusQuestion,Question related to the marital status of the respondent.,"[ 0.00396813  0.02269635 -0.00396066 ...  0.00922786 -0.02834058
  0.0496632 ]",[0.00399145 0.03042098 0.01144694 ... 0.01222179 0.02799876 0.04227162],"[ 0.00396813  0.02269635 -0.00396066 ...  0.01222179  0.02799876
  0.04227162]",0,9,DBSCAN_0_AGG_9
118,SurveyPeriod2015,Survey period in the year 2015.,"[ 0.0158021   0.00129068  0.0229888  ... -0.032903    0.02880455
 -0.01334159]","[ 0.00296378  0.01681095  0.0251956  ... -0.05025239  0.03112316
 -0.01443715]","[ 0.0158021   0.00129068  0.0229888  ... -0.05025239  0.03112316
 -0.01443715]",0,23,DBSCAN_0_AGG_23
119,SurveyPeriod2002to2014,Survey period from the years 2002 to 2014.,"[ 0.00080258 -0.03523237  0.05113921 ... -0.03133336  0.00820064
 -0.00362354]","[-0.02373712 -0.00985727  0.06852534 ... -0.0494534   0.01584616
 -0.00824438]","[ 0.00080258 -0.03523237  0.05113921 ... -0.0494534   0.01584616
 -0.00824438]",0,23,DBSCAN_0_AGG_23
120,SurveyPeriod2016,Survey period in the year 2016.,"[-0.00121435 -0.00975822  0.06278823 ... -0.03203068  0.02148399
 -0.00916506]","[-0.01200696  0.00441207  0.06591292 ... -0.0497272   0.02773301
 -0.00606268]","[-0.00121435 -0.00975822  0.06278823 ... -0.0497272   0.02773301
 -0.00606268]",0,23,DBSCAN_0_AGG_23
121,Variable,Age category in relation to DUI (Driving Under the Influence). Reflects changes in administration method for marital status questions in the survey.,"[-0.01859128  0.01490496 -0.02378697 ... -0.02921487 -0.01647237
  0.04394567]","[-8.98864400e-03  2.56475955e-02  1.12200354e-03 ... -3.78715595e-05
 -1.57443192e-02  2.99999919e-02]","[-1.85912829e-02  1.49049554e-02 -2.37869732e-02 ... -3.78715595e-05
 -1.57443192e-02  2.99999919e-02]",0,3,DBSCAN_0_AGG_3
122,MaritalStatus,The marital status of the respondent; note the changes in survey administration method over different years.,"[-0.01343093  0.04748058 -0.00067814 ...  0.01340354 -0.04329112
  0.05104026]","[-0.0036353   0.04790684  0.03587557 ... -0.0227803  -0.01395464
  0.00914622]","[-0.01343093  0.04748058 -0.00067814 ... -0.0227803  -0.01395464
  0.00914622]",0,9,DBSCAN_0_AGG_9
123,SurveyAdministrationMethod,Indicates whether marital status questions were self-administered or interviewer-administered.,"[-0.01655365  0.00696508  0.03932383 ... -0.02242798 -0.00279993
 -0.0297709 ]","[-0.00081923  0.04366682  0.0257859  ... -0.00826487 -0.03108957
  0.00407246]","[-0.01655365  0.00696508  0.03932383 ... -0.00826487 -0.03108957
  0.00407246]",0,17,DBSCAN_0_AGG_17
124,Question,RC-DUI DETAILED AGE CATEGORY RECODE,"[ 0.0168576  -0.0567091  -0.01366879 ... -0.02618271  0.00170537
  0.03847256]","[ 0.02582577  0.01440312 -0.02142313 ... -0.00065009  0.01146047
  0.02446413]","[ 0.0168576  -0.0567091  -0.01366879 ... -0.00065009  0.01146047
  0.02446413]",2,33,DBSCAN_2_AGG_33
