relationship,source_entity,target_entity,question_code,description
hasMemberAge,FamilyMemberInHouseholdOver18,Age,EDFAM18,"Relates family members in the household to their age, specifically those who are 18 or older."
hasFamilyRelation,Household,Mother,IMOTHER,Indicates the presence of the respondent's mother within the household.
coversFamilyRelations,IMOTHER,"FRELAT10, FRELAT11, FRELAT12, FRELAT13, FRELAT14, FRELAT15, FRELAT16, FRELAT17, FRELAT18, FRELAT19, FRELAT20, FRELAT21, FRELAT22, FRELAT23, FRELAT24, FRELAT25, FRELATO2, FRELATO3, FRELATO4, FRELATO5, FRELATO6, FRELATO7",IMOTHER,Associates the presence of the mother in the household with various family relationship codes.
hasRelationshipStatus,Father_Presence,"['MRELAT10', 'MRELAT11', 'MRELAT12', 'MRELAT13', 'MRELAT14', 'MRELAT15', 'MRELAT16', 'MRELAT17', 'MRELAT18', 'MRELAT19', 'MRELAT20', 'MRELAT21', 'MRELAT22', 'MRELAT23', 'MRELAT24', 'MRELAT25', 'MRELATO2', 'MRELATO3', 'MRELATO4', 'MRELATO5', 'MRELATO6', 'MRELATO7']",IFATHER,Relates the presence of the father in the household to the respondent's relationship status.
hasChildrenUnder18,Respondent,HouseholdChildrenUnder18,NRCH17_2,Indicates that the respondent has children under 18 living in the household.
recodedFrom,HouseholdChildrenUnder18,"['MRELAT10', 'MRELAT11', 'MRELAT12', 'MRELAT13', 'MRELAT14', 'MRELAT15', 'MRELAT16', 'MRELAT17', 'MRELAT18', 'MRELAT19', 'MRELAT20', 'MRELAT21', 'MRELAT22', 'MRELAT23', 'MRELAT24', 'MRELAT25', 'MRELATO2', 'MRELATO3', 'MRELATO4', 'MRELATO5', 'MRELATO6', 'MRELATO7']",NRCH17_2,Derived from multiple relationship status codes regarding the respondent's children.
derivedFrom,HouseholdSize,HouseholdMember,IRHHSIZ2,The household size is derived from the number of household members.
hasHouseholdMembers,Household,FamilyRelationship,IIHHSIZ2,Relates the household to its members based on their relationship to the respondent.
affectedByImputation,HouseholdSize,ImputationIndicator,IIHHSIZ2,Indicates whether the household size data of the respondent is affected by imputation.
hasChildrenUnder18,Household,NumberOfKidsUnder18,IRKI17_2,The household has a certain number of children under 18 years old.
hasIndividual,Household,Individual,,The household has an individual related to the respondent.
relatedTo,ImputationIndicator,ResponseVariable,IIKI17_2,Relates the imputation indicator to the response variables (MRELAT10 to MRELATO7).
hasCategory,ImputationIndicator,SubstanceAbuse,IIKI17_2,Associates the imputation indicator with categories relevant to substance abuse.
hasCategory,ImputationIndicator,MentalHealth,IIKI17_2,Associates the imputation indicator with categories relevant to mental health.
hasCategory,ImputationIndicator,RuralResilience,IIKI17_2,Associates the imputation indicator with categories relevant to rural resilience.
residesIn,HouseholdMember,Household,IRHH65_2,Relates a household member to the household they reside in.
hasAge,HouseholdMember,Age,IRHH65_2,Attribute specifying the age of a household member.
usesImputationIndicator,SurveyResponse,IMPUTATION_INDICATOR,IIHH65_2,Indicates whether a survey response has used an imputation indicator.
relatedToMentalHealthStatus,IMPUTATION_INDICATOR,MRELAT10,IIHH65_2,Imputation indicator is related to mental health status or treatment.
relatedToMentalHealthStatus,IMPUTATION_INDICATOR,MRELAT11,IIHH65_2,Imputation indicator is related to mental health status or treatment.
relatedToMentalHealthStatus,IMPUTATION_INDICATOR,MRELAT12,IIHH65_2,Imputation indicator is related to mental health status or treatment.
relatedToMentalHealthStatus,IMPUTATION_INDICATOR,MRELAT13,IIHH65_2,Imputation indicator is related to mental health status or treatment.
relatedToMentalHealthStatus,IMPUTATION_INDICATOR,MRELAT14,IIHH65_2,Imputation indicator is related to mental health status or treatment.
relatedToMentalHealthStatus,IMPUTATION_INDICATOR,MRELAT15,IIHH65_2,Imputation indicator is related to mental health status or treatment.
relatedToMentalHealthStatus,IMPUTATION_INDICATOR,MRELAT16,IIHH65_2,Imputation indicator is related to mental health status or treatment.
relatedToMentalHealthStatus,IMPUTATION_INDICATOR,MRELAT17,IIHH65_2,Imputation indicator is related to mental health status or treatment.
relatedToMentalHealthStatus,IMPUTATION_INDICATOR,MRELAT18,IIHH65_2,Imputation indicator is related to mental health status or treatment.
relatedToMentalHealthStatus,IMPUTATION_INDICATOR,MRELAT19,IIHH65_2,Imputation indicator is related to mental health status or treatment.
relatedToMentalHealthStatus,IMPUTATION_INDICATOR,MRELAT20,IIHH65_2,Imputation indicator is related to mental health status or treatment.
relatedToMentalHealthStatus,IMPUTATION_INDICATOR,MRELAT21,IIHH65_2,Imputation indicator is related to mental health status or treatment.
relatedToMentalHealthStatus,IMPUTATION_INDICATOR,MRELAT22,IIHH65_2,Imputation indicator is related to mental health status or treatment.
relatedToMentalHealthStatus,IMPUTATION_INDICATOR,MRELAT23,IIHH65_2,Imputation indicator is related to mental health status or treatment.
relatedToMentalHealthStatus,IMPUTATION_INDICATOR,MRELAT24,IIHH65_2,Imputation indicator is related to mental health status or treatment.
relatedToMentalHealthStatus,IMPUTATION_INDICATOR,MRELAT25,IIHH65_2,Imputation indicator is related to mental health status or treatment.
relatedToMentalHealthStatus,IMPUTATION_INDICATOR,MRELATO2,IIHH65_2,Imputation indicator is related to mental health status or treatment.
relatedToMentalHealthStatus,IMPUTATION_INDICATOR,MRELATO3,IIHH65_2,Imputation indicator is related to mental health status or treatment.
relatedToMentalHealthStatus,IMPUTATION_INDICATOR,MRELATO4,IIHH65_2,Imputation indicator is related to mental health status or treatment.
relatedToMentalHealthStatus,IMPUTATION_INDICATOR,MRELATO5,IIHH65_2,Imputation indicator is related to mental health status or treatment.
relatedToMentalHealthStatus,IMPUTATION_INDICATOR,MRELATO6,IIHH65_2,Imputation indicator is related to mental health status or treatment.
relatedToMentalHealthStatus,IMPUTATION_INDICATOR,MRELATO7,IIHH65_2,Imputation indicator is related to mental health status or treatment.
hasProxy,Respondent,Proxy,PRXRETRY,Indicates that the respondent under the age of 18 has a proxy to respond on their behalf.
proxyUnavailability,Proxy,ProxyAvailability,PRXRETRY,Relates to the scenario where the initially selected proxy is unavailable and another proxy needs to be selected.
hasProxy,Respondent,Proxy,PRXYDATA,Indicates that the respondent has a proxy to answer the survey questions if unavailable.
participatesIn,Respondent,Survey,PRXYDATA,Indicates the respondent is participating in the NSDUH Survey.
usesProxyResponse,Survey,ProxyResponse,PRXYDATA,Indicates that the survey uses the proxy response data for respondents younger than 18.
coveredByMedicare,Respondent,Medicare,MEDICARE,Indicates whether the respondent has Medicare coverage.
eligibleForMedicare,Respondent,Disability,MEDICARE,Indicates if the respondent qualifies for Medicare due to a disability.
reportsFamilyIncome,Respondent,Income,MEDICARE,Indicates the income reported by the respondent and their family.
reportsOn,Respondent,FamilyMembers,MEDICARE,Indicates the respondent is reporting on their family members' income.
isCoveredBy,Sample_Member,Insurance_Coverage,CAIDCHIP,Indicates whether the sample member is covered by Medicaid or CHIP.
hasProgramName,Medicaid,State,CAIDCHIP,State-specific name for Medicaid program.
qualifiesBy,Sample_Member,Disabilities,CAIDCHIP,Indicates that the sample member qualifies for Medicaid due to having disabilities.
qualifiesBy,Sample_Member,Low_Income,CAIDCHIP,Indicates that the sample member qualifies for Medicaid due to having low income.
hasAgeGroup,Sample_Member,Respondent_Age_Group,CAIDCHIP,Indicates the age group of the sample member.
isAlsoKnownAs,Medicaid,Medical_Assistance,CAIDCHIP,Indicates that Medicaid is also known as Medical Assistance.
covers,Program,Military Personnel,CHAMPUS,"Programs like TRICARE, CHAMPVA, VA, Military health care cover military personnel"
covers,Program,Dependents,CHAMPUS,"Programs like TRICARE, CHAMPVA, VA, Military health care cover dependents of military personnel"
covers,Program,Veterans,CHAMPUS,"Programs like TRICARE, CHAMPVA, VA, Military health care cover disabled veterans"
isObtainedThrough,PrivateHealthInsurance,Employer,PRVHLTIN,Private health insurance can be obtained through an employer
isObtainedThrough,PrivateHealthInsurance,Union,PRVHLTIN,Private health insurance can be obtained through a union
isObtainedThrough,PrivateHealthInsurance,ProfessionalAssociation,PRVHLTIN,Private health insurance can be obtained through a professional association
isObtainedThrough,PrivateHealthInsurance,HealthInsuranceCompany,PRVHLTIN,Private health insurance can be obtained by paying premiums directly to a health insurance company
isObtainedThrough,PrivateHealthInsurance,HealthInsuranceMarketplace,PRVHLTIN,Private health insurance can be obtained by purchasing a plan through the Health Insurance Marketplace
includes,PrivateHealthInsurance,HealthMaintenanceOrganization,PRVHLTIN,Private health insurance includes a health maintenance organization
includes,PrivateHealthInsurance,FeeForServicePlan,PRVHLTIN,Private health insurance includes fee for service plans
includes,PrivateHealthInsurance,SingleServicePlan,PRVHLTIN,Private health insurance includes single service plans
isCoveredBy,SampleMember,PrivateHealthInsurance,PRVHLTIN,Sample member is covered by private health insurance
obtainedThrough,PrivateHealthInsurance,Employer,GRPHLTIN,Private health insurance obtained through an employer.
obtainedThrough,PrivateHealthInsurance,Union,GRPHLTIN,Private health insurance obtained through a union.
obtainedThrough,PrivateHealthInsurance,ProfessionalAssociation,GRPHLTIN,Private health insurance obtained through a professional association.
obtainedThrough,PrivateHealthInsurance,FamilyMember,GRPHLTIN,Private health insurance obtained through any family member's employment.
respondedBy,SampleMember,PrivateHealthInsurance,GRPHLTIN,The sample member responded about private health insurance.
hasCoverageFor,PrivateHealthInsurance,TreatmentCoverage,HLTINALC,Indicates whether private health insurance includes coverage for treatment.
includesTreatmentFor,TreatmentCoverage,AlcoholAbuse,HLTINALC,Coverage includes treatment for alcohol abuse.
includesTreatmentFor,TreatmentCoverage,Alcoholism,HLTINALC,Coverage includes treatment for alcoholism.
isRespondent,PrivateHealthInsurance,Respondent,HLTINALC,The respondent is asked whether their private health insurance includes specific coverage.
hasIndicator,Respondent,Drug Abuse,HLTINDRG,Indicates whether the respondent has experienced drug abuse.
experiences,Respondent,MentalOrEmotionalDifficulties,HLTINMNT,Indicates that the respondent experiences mental or emotional difficulties.
isCoveredBy,Respondent,HealthInsuranceCoverage,HLTINNOS,Indicates whether the respondent is currently covered by any kind of health insurance.
hasSurveyPeriod,Survey,SurveyPeriod,HLCNOTYR,Relates the survey to the time period of the past 12 months.
concernsHealthInsuranceStatus,Survey,HealthInsuranceStatus,HLCNOTYR,Relates the survey to the status of whether the respondent had health insurance or coverage during the past 12 months.
providedBy,HealthInsuranceStatus,Respondent,HLCNOTYR,Indicates that the health insurance status information is provided by the respondent.
hasSurveyPeriod,Survey,SurveyPeriod,HLCNOTMO,Relates the survey to the time period of the past 12 months.
answeredBy,Survey,Respondent,HLCNOTMO,Indicates the survey is answered by the respondent.
assesses,Survey,HealthInsuranceCoverage,HLCNOTMO,The survey includes questions about health insurance coverage.
hasDurationWithoutCoverage,Respondent,MonthsWithoutCoverage,HLCNOTMO,Indicates the number of months the respondent was without health insurance.
hasCoverageStatus,Respondent,HealthCareCoverage,HLCLAST,Indicates the health care coverage status of the respondent.
