entity,question_code,description
Proxy,PRXRETRY,A substitute individual who can provide responses on behalf of a respondent under the age of 18.
ProxyResponse,PRXYDATA,Indicates whether respondents younger than 18 selected another proxy if their previously selected proxy was unavailable.
Respondent,PRXYDATA,Individual taking part in the survey who is younger than 18.
Proxy,PRXYDATA,An individual selected by the original respondent to answer on their behalf if unavailable.
Survey,PRXYDATA,National Survey on Drug Use and Health (NSDUH).
HealthInsurance,MEDICARE,Medicare coverage by the respondent.
Medicare,MEDICARE,A health insurance program for people aged 65 and older and for certain people with disabilities.
Respondent,MEDICARE,The individual responding to the survey.
Disability,MEDICARE,Certain disabilities qualifying for Medicare coverage.
Income,MEDICARE,The kinds and amounts of income received by the respondent and their family.
FamilyMembers,MEDICARE,Family members of the respondent.
Medicaid,CAIDCHIP,Public assistance program that pays for medical care for people with low income and disabilities.
CHIP,CAIDCHIP,Children's Health Insurance Program.
Insurance_Coverage,CAIDCHIP,Indicates if a person is covered by Medicaid or CHIP.
Respondent_Age_Group,CAIDCHIP,"Age group of the respondent, categorized as 12-19, 20+, 65+."
Disabilities,CAIDCHIP,Condition of the respondent that qualifies them for Medicaid.
Low_Income,CAIDCHIP,Economic status of the respondent that qualifies them for Medicaid.
State,CAIDCHIP,State-specific name for Medicaid program.
Medical_Assistance,CAIDCHIP,Different name for Medicaid program.
Sample_Member,CAIDCHIP,The sampled individual in the survey.
Program,CHAMPUS,"Programs covering active and retired military personnel, disabled veterans, and their dependents/survivors (TRICARE, CHAMPVA, VA, Military health care)"
Military Personnel,CHAMPUS,Active duty and retired career military personnel covered by military health programs
Dependents,CHAMPUS,Dependents and survivors of military personnel covered by military health programs
Veterans,CHAMPUS,Disabled veterans covered by military health programs
Question,PRVHLTIN,Covered by private insurance
PrivateHealthInsurance,PRVHLTIN,"Coverage obtained through work, paying premiums directly, or purchasing a plan through the Health Insurance Marketplace"
Employer,PRVHLTIN,Workplace provider of healthcare insurance
Union,PRVHLTIN,Union provider of healthcare insurance
ProfessionalAssociation,PRVHLTIN,Professional association provider of healthcare insurance
HealthInsuranceCompany,PRVHLTIN,Direct provider of healthcare insurance
HealthInsuranceMarketplace,PRVHLTIN,Market where healthcare insurances are purchased
HealthMaintenanceOrganization,PRVHLTIN,Type of healthcare coverage
FeeForServicePlan,PRVHLTIN,Type of healthcare coverage
SingleServicePlan,PRVHLTIN,Type of healthcare coverage
SampleMember,PRVHLTIN,Respondent covered by private health insurance
PrivateHealthInsurance,GRPHLTIN,"Private health insurance obtained through work, such as through an employer, union, or professional association."
Employer,GRPHLTIN,Employer through which private health insurance could be obtained.
Union,GRPHLTIN,Union through which private health insurance could be obtained.
ProfessionalAssociation,GRPHLTIN,Professional association through which private health insurance could be obtained.
FamilyMember,GRPHLTIN,Family member through whom private health insurance could be obtained.
SampleMember,GRPHLTIN,The primary respondent of the survey question.
PrivateHealthInsurance,HLTINALC,Private health insurance coverage status.
TreatmentCoverage,HLTINALC,Coverage for treatment of specific conditions.
AlcoholAbuse,HLTINALC,Condition related to alcohol abuse.
Alcoholism,HLTINALC,Condition related to alcoholism.
Respondent,HLTINALC,The individual participant in the survey.
Drug Abuse,HLTINDRG,Drug abuse?
MentalOrEmotionalDifficulties,HLTINMNT,Mental or emotional problems experienced by the respondent.
Respondent,HLTINMNT,The individual answering the survey questions.
HealthInsuranceCoverage,HLTINNOS,A policy or program that provides or pays for medical care.
Respondent,HLTINNOS,The individual sample member surveyed.
HealthInsuranceStatus,HLCNOTYR,Status of having any kind of health insurance or coverage.
SurveyPeriod,HLCNOTYR,"The period during which the survey is referring to, specifically the past 12 months."
Respondent,HLCNOTYR,The individual who is responding to the survey.
HealthInsuranceCoverage,HLCNOTMO,Availability of health insurance coverage over the past 12 months.
Respondent,HLCNOTMO,The individual answering the survey.
SurveyPeriod,HLCNOTMO,The timeframe from [DATE FILL] through today over which the survey is applicable.
MonthsWithoutCoverage,HLCNOTMO,The number of months within the last 12 months that the respondent was without health insurance.
HealthCareCoverage,HLCLAST,Any kind of health coverage like insurance.
Respondent,HLCLAST,Individual providing responses in the survey.
TimePeriod,HLCLAST,Duration since last having health care coverage.
HealthInsurance,HLLOSRSN,The coverage status of health insurance.
ReasonForStopping,HLLOSRSN,The main reason for stopping health insurance coverage.
SampleMember,HLLOSRSN,The person in the survey who stopped being covered by health insurance.
CostTooHigh,HLNVCOST,Indicates if the cost being too high is a reason why the sample member never had health insurance coverage.
HealthInsuranceCoverage,HLNVCOST,Health insurance status of the sample member.
ReasonForLackOfHealthInsurance,HLNVCOST,"Reasons why the sample member never had health insurance coverage, including cost."
SampleMember,HLNVCOST,The individual respondent of the survey.
HealthInsurance,HLNVOFFR,Health insurance coverage status.
Employer,HLNVOFFR,The employer of the respondent.
Reason,HLNVOFFR,Reason for never having health insurance coverage.
SampleMember,HLNVOFFR,The respondent in the survey.
InsuranceCompany,HLNVREF,The entity representing the insurance company which may refuse coverage.
CoverageRefusal,HLNVREF,Refusal of coverage by an insurance company.
HealthInsuranceStatus,HLNVREF,The status of having or not having health insurance coverage.
ReasonForNoInsurance,HLNVREF,Reason why the sample member never had health insurance coverage.
SampleMember,HLNVREF,The individual whose insurance status is being questioned.
HealthInsuranceNeed,HLNVNEED,Reasons for never having health insurance coverage.
ReasonForLackOfHealthInsurance,HLNVNEED,Specific reasons why the individual never had health insurance.
HealthInsurance,HLNVSOR,Reason for never having health insurance.
SampleMember,HLNVSOR,The individual respondent of the survey question.
Reason,HLNVSOR,Possible explanation for the lack of health insurance coverage.
HealthInsuranceCoverage,IRMEDICR,Health insurance coverage status of the respondent
ReasonForNoInsurance,IRMEDICR,Reason why the respondent never had health insurance coverage
Respondent,IRMEDICR,Individual responding to the survey
MedicareImputationIndicator,IIMEDICR,Indicator for imputation of the Medicare status of the respondent.
HealthInsuranceCoverage,IIMEDICR,Status indicating whether the respondent had health insurance coverage.
SampleMember,IIMEDICR,The respondent who is a sample member of the survey.
ReasonsForNoInsurance,IIMEDICR,Reasons describing why the sample member never had health insurance coverage.
HealthInsuranceStatus,IRMCDCHP,Status of having health insurance coverage or not.
ReasonForNoHealthInsurance,IRMCDCHP,Reason why the respondent never had health insurance coverage.
MedicaidCHIP,IRMCDCHP,Medicaid/Children's Health Insurance Program (CHIP) coverage status of the respondent.
HealthInsuranceStatus,IIMCDCHP,The status of having or not having health insurance coverage.
Medicaid/CHIP,IIMCDCHP,Reference to Medicaid or CHIP program within the health insurance context.
ReasonForNoCoverage,IIMCDCHP,Reasons for never having health insurance coverage.
SampleMember,IIMCDCHP,The respondent being assessed in the survey.
HealthInsuranceCoverage,IRCHMPUS,Health insurance coverage status of the respondent.
Respondent,IRCHMPUS,The individual participating in the survey.
NonCoverageReason,IRCHMPUS,The reasons why the respondent never had health insurance coverage.
SurveyCard,IRCHMPUS,The card listing reasons for not having health insurance.
CHAMPUS,IICHMPUS,"CHAMPUS - IMPUTATION INDICATOR, refers to the imputed status of CHAMPUS coverage."
Health_Insurance_Coverage,IICHMPUS,Status of having health insurance coverage.
Reasons_For_No_Health_Insurance,IICHMPUS,Reasons why the sample member never had health insurance coverage.
Sample_Member,IICHMPUS,The individual responding to the survey question.
HealthInsurance,IRPRVHLT,Private health insurance status of the respondent
Respondent,IRPRVHLT,Individual respondent in the survey
Reason,IRPRVHLT,Reason for not having health insurance
HealthInsuranceCoverage,IIPRVHLT,Status of having private health insurance coverage.
ReasonForNoInsurance,IIPRVHLT,Reason for never having health insurance coverage.
SampleMember,IIPRVHLT,The individual respondent who is part of the survey sample.
OtherHealthInsuranceEligibility,IROTHHLT,Eligibility criteria for other health insurance.
MedicareCoverage,IRMEDICR,Indicates if the respondent is covered by Medicare.
MedicaidCHIPCoverage,IRMCDCHP,Indicates if the respondent is covered by Medicaid/CHIP.
MilitaryCoverage,IRCHMPUS,"Indicates if the respondent is covered by Tricare, Champus, ChampVA, VA, or Military health insurance."
PrivateInsuranceCoverage,IRPRVHLT,Indicates if the respondent is covered by private health insurance.
OtherHealthInsurance,ANYHLTI2,Indicates if the respondent has any other health insurance coverage.
HealthInsurance,IIOTHHLT,Other health insurance - imputation indicator
